Sample in Buffer,Sample in Window,TRIGGER,design_1_i/AD7960_0_data_rd_rdy_o,design_1_i/AD7960_0_data_o[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
860,860,0,0,3ffff
861,861,0,0,3ffff
862,862,0,0,3ffff
863,863,0,0,3ffff
864,864,0,0,3ffff
865,865,0,0,3fffe
866,866,0,0,3fffd
867,867,0,0,3fffd
868,868,0,0,3fffa
869,869,0,0,3fff5
870,870,0,0,3ffea
871,871,0,0,3ffe4
872,872,0,0,3ffd4
873,873,0,0,3ffa8
874,874,0,0,3ff50
875,875,0,0,3fea1
876,876,0,0,3ff63
877,877,0,0,3fd43
878,878,0,0,3fa86
879,879,0,0,3f50d
880,880,0,0,3ea1b
881,881,0,0,3f217
882,882,0,0,3d437
883,883,0,0,3a86f
884,884,0,0,350df
885,885,0,0,2a1bf
886,886,0,0,3a17e
887,887,0,0,1437e
888,888,0,0,1437e
889,889,0,0,1437e
890,890,0,0,1437e
891,891,0,0,1437e
892,892,0,0,1437e
893,893,0,0,1437e
894,894,0,0,1437e
895,895,0,0,1437e
896,896,0,0,1437e
897,897,0,0,1437e
898,898,0,0,1437e
899,899,0,0,1437e
900,900,0,0,1437e
901,901,0,0,1437e
902,902,0,0,1437e
903,903,0,0,1437e
904,904,0,0,1437e
905,905,0,0,1437e
906,906,0,0,1437e
907,907,0,0,1437e
908,908,0,0,1437e
909,909,0,0,1437e
910,910,0,0,1437e
911,911,0,0,1437e
912,912,0,0,1437e
913,913,0,1,1437e
914,914,0,1,1437e
915,915,0,1,1437e
916,916,0,1,1437e
917,917,0,0,1437e
918,918,0,0,1437e
919,919,0,0,1437e
920,920,0,0,1437e
921,921,0,0,3ffff
922,922,0,0,3ffff
923,923,0,0,3ffff
924,924,0,0,3ffff
925,925,0,0,3ffff
926,926,0,0,3ffff
927,927,0,0,3ffff
928,928,0,0,3ffff
929,929,0,0,3ffff
930,930,0,0,3ffff
931,931,0,0,3ffff
932,932,0,0,3ffff
933,933,0,0,3ffff
934,934,0,0,3ffff
935,935,0,0,3ffff
936,936,0,0,3ffff
937,937,0,0,3ffff
938,938,0,0,3ffff
939,939,0,0,3ffff
940,940,0,0,3fffe
941,941,0,0,3fffc
942,942,0,0,3fffc
943,943,0,0,3fff8
944,944,0,0,3fff0
945,945,0,0,3ffe0
946,946,0,0,3ffe0
947,947,0,0,3ffc0
948,948,0,0,3ff81
949,949,0,0,3ff02
950,950,0,0,3fe05
951,951,0,0,3fe0b
952,952,0,0,3fc0b
953,953,0,0,3f816
954,954,0,0,3f02c
955,955,0,0,3e058
